id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
56	sangermano (2015)	"<table><tr><td>Authors:</td><td>sangermano, florencia; bol, leslie; galvis, pedro; gullison, raymond e.; hardner, jared; ross, gail s.</td></tr><tr><td>Title:</td><td>habitat suitability and protection status of four species of amphibians in the dominican republic</td></tr><tr><td>Source:</td><td>applied geography, 63, 55-65</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1016/j.apgeog.2015.06.002	-0.6617	-0.3613	1	342	2402	26	0.5498	2015	26	0.5498
57	vorsino (2013)	"<table><tr><td>Authors:</td><td>vorsino, adam e.; king, cynthia b.; haines, william p.; rubinoff, daniel</td></tr><tr><td>Title:</td><td>modeling the habitat retreat of the rediscovered endemic hawaiian moth omiodes continuatalis wallengren (lepidoptera: crambidae)</td></tr><tr><td>Source:</td><td>plos one, 8(1)</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1371/journal.pone.0051885	-0.3768	-0.8193	1	335	2239	7	0.0329	2013	7	0.0329
58	tererai (2014)	"<table><tr><td>Authors:</td><td>tererai, farai; wood, alan r.</td></tr><tr><td>Title:</td><td>on the present and potential distribution of ageratina adenophora (asteraceae) in south africa</td></tr><tr><td>Source:</td><td>south african journal of botany, 95, 152-158</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.sajb.2014.09.001	0.0005	-0.3381	1	339	2404	32	0.157	2014	32	0.157
59	halvorsen (2015)	"<table><tr><td>Authors:</td><td>halvorsen, rune; mazzoni, sabrina; bryn, anders; bakkestuen, vegar</td></tr><tr><td>Title:</td><td>opportunities for improved distribution modelling practice via a strict maximum likelihood interpretation of maxent</td></tr><tr><td>Source:</td><td>ecography, 38(2), 172-183</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1111/ecog.00565	0.2773	-0.8343	2	340	2319	67	1.4167	2015	67	1.4167
60	tessarolo (2014)	"<table><tr><td>Authors:</td><td>tessarolo, geiziane; rangel, thiago f.; araujo, miguel b.; hortal, joaquin</td></tr><tr><td>Title:</td><td>uncertainty associated with survey design in species distribution models</td></tr><tr><td>Source:</td><td>diversity and distributions, 20(11), 1258-1269</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1111/ddi.12236	-0.943	-0.142	1	344	2379	111	0.5447	2014	111	0.5447
61	duursma (2013)	"<table><tr><td>Authors:</td><td>duursma, daisy englert; gallagher, rachael v.; roger, erin; hughes, lesley; downey, paul o.; leishman, michelle r.</td></tr><tr><td>Title:</td><td>next-generation invaders? hotspots for naturalised sleeper weeds in australia under future climates</td></tr><tr><td>Source:</td><td>plos one, 8(12)</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1371/journal.pone.0084222	-0.1696	-0.5696	1	337	2146	36	0.1692	2013	36	0.1692
62	fischer (2011)	"<table><tr><td>Authors:</td><td>fischer, dominik; moeller, philipp; thomas, stephanie m.; naucke, torsten j.; beierkuhnlein, carl</td></tr><tr><td>Title:</td><td>combining climatic projections and dispersal ability: a method for estimating the responses of sandfly vector species to climate change</td></tr><tr><td>Source:</td><td>plos neglected tropical diseases, 5(11)</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/10.1371/journal.pntd.0001407	-0.6338	-0.7125	1	336	2294	72	1	2011	72	1
63	pie (2013)	"<table><tr><td>Authors:</td><td>pie, marcio r.; meyer, andreas l. s.; firkowski, carina r.; ribeiro, luiz f.; bornschein, marcos r.</td></tr><tr><td>Title:</td><td>understanding the mechanisms underlying the distribution of microendemic montane frogs (brachycephalus spp., terrarana: brachycephalidae) in the brazilian atlantic rainforest</td></tr><tr><td>Source:</td><td>ecological modelling, 250, 165-176</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2012.10.019	-0.6658	-0.6569	1	341	2514	54	0.2538	2013	54	0.2538
64	fourcade (2014)	"<table><tr><td>Authors:</td><td>fourcade, yoan; engler, jan o.; roedder, dennis; secondi, jean</td></tr><tr><td>Title:</td><td>mapping species distributions with maxent using a geographically biased sample of presence data: a performance assessment of methods for correcting sampling bias</td></tr><tr><td>Source:</td><td>plos one, 9(5)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1371/journal.pone.0097122	-0.228	-0.9283	1	340	2950	947	4.6475	2014	947	4.6475
65	lyu (2014)	"<table><tr><td>Authors:</td><td>lyu, nan; sun, yue-hua</td></tr><tr><td>Title:</td><td>predicting threat of climate change to the chinese grouse on the qinghai-tibet plateau</td></tr><tr><td>Source:</td><td>wildlife biology, 20(2), 73-82</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.2981/wlb.13024	-0.7365	0.1584	1	344	2449	10	0.0491	2014	10	0.0491
66	marcer (2012)	"<table><tr><td>Authors:</td><td>marcer, arnald; pino, joan; pons, xavier; brotons, lluis</td></tr><tr><td>Title:</td><td>modelling invasive alien species distributions from digital biodiversity atlases. model upscaling as a means of reconciling data at different scales</td></tr><tr><td>Source:</td><td>diversity and distributions, 18(12), 1177-1189</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/10.1111/j.1472-4642.2012.00911.x	-0.4754	-0.8735	1	340	2509	26	0.3204	2012	26	0.3204
67	jacobs (2014)	"<table><tr><td>Authors:</td><td>jacobs, l. e. o.; richardson, d. m.; wilson, j. r. u.</td></tr><tr><td>Title:</td><td>melaleuca parvistaminea byrnes (myrtaceae) in south africa: invasion risk and feasibility of eradication</td></tr><tr><td>Source:</td><td>south african journal of botany, 94, 24-32</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.sajb.2014.05.002	-0.4193	0.2453	1	321	342	20	0.0982	2014	20	0.0982
68	lissovsky (2020)	"<table><tr><td>Authors:</td><td>lissovsky, a. a.; dudov, s., v</td></tr><tr><td>Title:</td><td>advantages and limitations of application of the species distribution modeling methods. 2. maxent</td></tr><tr><td>Source:</td><td>zhurnal obshchei biologii, 81(2), 135-146</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.31857/s0044459620020049	0.9739	-0.3577	2	339	2934	17	0.4218	2020	17	0.4218
69	feng (2019)	"<table><tr><td>Authors:</td><td>feng, xiao; park, daniel s.; liang, ye; pandey, ranjit; papes, monica</td></tr><tr><td>Title:</td><td>collinearity in ecological niche modeling: confusions and challenges</td></tr><tr><td>Source:</td><td>ecology and evolution, 9(18), 10365-10376</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1002/ece3.5555	0.1458	-0.0173	2	345	3312	335	6.2445	2019	335	6.2445
70	srivastava (2021)	"<table><tr><td>Authors:</td><td>srivastava, vivek; roe, amanda d.; keena, melody a.; hamelin, richard c.; griess, verena c.</td></tr><tr><td>Title:</td><td>oh the places they'll go: improving species distribution modelling for invasive forest pests in an uncertain world</td></tr><tr><td>Source:</td><td>biological invasions, 23(1), 297-349</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s10530-020-02372-9	0.8492	-0.2327	2	341	2438	58	1.8991	2021	58	1.8991
71	boria (2018)	"<table><tr><td>Authors:</td><td>boria, robert a.; blois, jessica l.</td></tr><tr><td>Title:</td><td>the effect of large sample sizes on ecological niche models: analysis using a north american rodent, peromyscus maniculatus</td></tr><tr><td>Source:</td><td>ecological modelling, 386, 83-88</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2018.08.013	0.5136	-0.8207	2	336	2711	28	0.5111	2018	28	0.5111
72	ray (2016a)	"<table><tr><td>Authors:</td><td>ray, debabrata; behera, mukunda dev; jacob, james</td></tr><tr><td>Title:</td><td>improving spatial transferability of ecological niche model of hevea brasiliensis using pooled occurrences of introduced ranges in two biogeographic regions of india</td></tr><tr><td>Source:</td><td>ecological informatics, 34, 153-163</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.ecoinf.2016.06.003	-0.4552	-0.599	1	341	2257	8	0.1376	2016	8	0.1376
73	zeng (2016)	"<table><tr><td>Authors:</td><td>zeng, yiwen; wei, low bi; yeo, darren c. j.</td></tr><tr><td>Title:</td><td>novel methods to select environmental variables in maxent: a case study using invasive crayfish</td></tr><tr><td>Source:</td><td>ecological modelling, 341, 5-13</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2016.09.019	0.6281	-0.8212	2	338	2682	169	2.9058	2016	169	2.9058
74	ray (2016b)	"<table><tr><td>Authors:</td><td>ray, debabrata; behera, mukunda dev; jacob, james</td></tr><tr><td>Title:</td><td>predicting the distribution of rubber trees (hevea brasiliensis) through ecological niche modelling with climate, soil, topography and socioeconomic factors</td></tr><tr><td>Source:</td><td>ecological research, 31(1), 75-91</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1007/s11284-015-1318-7	-0.9284	-0.2042	1	339	2269	37	0.6362	2016	37	0.6362
75	coxen (2017)	"<table><tr><td>Authors:</td><td>coxen, christopher l.; frey, jennifer k.; carleton, scott a.; collins, daniel p.</td></tr><tr><td>Title:</td><td>species distribution models for a migratory bird based on citizen science and satellite tracking data</td></tr><tr><td>Source:</td><td>global ecology and conservation, 11, 298-311</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1016/j.gecco.2017.08.001	0.3137	-0.4495	2	343	2734	94	1.4533	2017	94	1.4533
76	boria (2017)	"<table><tr><td>Authors:</td><td>boria, robert a.; olson, link e.; goodman, steven m.; anderson, robert p.</td></tr><tr><td>Title:</td><td>a single-algorithm ensemble approach to estimating suitability and uncertainty: cross-time projections for four malagasy tenrecs</td></tr><tr><td>Source:</td><td>diversity and distributions, 23(2), 196-208</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1111/ddi.12510	0.5493	-0.7363	2	340	2756	32	0.4947	2017	32	0.4947
77	tracy (2018)	"<table><tr><td>Authors:</td><td>tracy, james l.; trabucco, antonio; lawing, a. michelle; giermakowski, j. tomasz; tchakerian, maria; drus, gail m.; coulson, robert n.</td></tr><tr><td>Title:</td><td>random subset feature selection for ecological niche models of wildfire activity in western north america</td></tr><tr><td>Source:</td><td>ecological modelling, 383, 52-68</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.ecolmodel.2018.05.019	0.8142	-0.1679	2	342	2515	22	0.4016	2018	22	0.4016
78	pires (2018)	"<table><tr><td>Authors:</td><td>pires, mateus marques; perico, eduardo; renner, samuel; sahlen, goran</td></tr><tr><td>Title:</td><td>predicting the effects of future climate change on the distribution of an endemic damselfly (odonata, coenagrionidae) in subtropical south american grasslands</td></tr><tr><td>Source:</td><td>journal of insect conservation, 22(2), 303-319</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1007/s10841-018-0063-y	0.6038	-0.3388	2	339	2711	13	0.2373	2018	13	0.2373
79	castaneda (2019)	"<table><tr><td>Authors:</td><td>castaneda, saul; botello, francisco; sanchez-corderol, victor; sarkar, sahotra</td></tr><tr><td>Title:</td><td>spatio-temporal distribution of monarch butterflies along their migratory route</td></tr><tr><td>Source:</td><td>frontiers in ecology and evolution, 7</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.3389/fevo.2019.00400	0.933	-0.0648	2	345	2622	12	0.2237	2019	12	0.2237
80	sutton (2020a)	"<table><tr><td>Authors:</td><td>sutton, luke j.; mcclure, christopher j. w.; kini, sunil; leonardi, giovanni</td></tr><tr><td>Title:</td><td>climatic constraints on laggar falcon (falco jugger) distribution predicts multidirectional range movements under future climate change scenarios</td></tr><tr><td>Source:</td><td>journal of raptor research, 54(1), 1-17</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3356/0892-1016-54.1.1	0.5336	-0.433	2	348	3729	20	0.4962	2020	20	0.4962
81	tobena (2016)	"<table><tr><td>Authors:</td><td>tobena, marta; prieto, rui; machete, miguel; silva, monica a.</td></tr><tr><td>Title:</td><td>modeling the potential distribution and richness of cetaceans in the azores from fisheries observer program data</td></tr><tr><td>Source:</td><td>frontiers in marine science, 3</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.3389/fmars.2016.00202	0.0644	-0.598	1	345	3070	76	1.3067	2016	76	1.3067
82	truong (2017)	"<table><tr><td>Authors:</td><td>truong, tuyet t. a.; hardy, giles e. st. j.; andrew, margaret e.</td></tr><tr><td>Title:</td><td>contemporary remotely sensed data products refine invasive plants risk mapping in data poor regions</td></tr><tr><td>Source:</td><td>frontiers in plant science, 8</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.3389/fpls.2017.00770	-0.5992	-0.3488	1	343	2328	27	0.4174	2017	27	0.4174
83	mothes (2019)	"<table><tr><td>Authors:</td><td>mothes, caitlin c.; stroud, james t.; clements, stephanie l.; searcy, christopher a.</td></tr><tr><td>Title:</td><td>evaluating ecological niche model accuracy in predicting biotic invasions using south florida's exotic lizard community</td></tr><tr><td>Source:</td><td>journal of biogeography, 46(2), 432-441</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.1111/jbi.13511	-0.0556	-0.9459	1	340	2495	32	0.5965	2019	32	0.5965
84	papes (2016)	"<table><tr><td>Authors:</td><td>papes, monica; havel, john e.; vander zanden, m. jake</td></tr><tr><td>Title:</td><td>using maximum entropy to predict the potential distribution of an invasive freshwater snail</td></tr><tr><td>Source:</td><td>freshwater biology, 61(4), 457-471</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1111/fwb.12719	-0.2416	0.0976	1	344	2339	24	0.4127	2016	24	0.4127
85	bradie (2017)	"<table><tr><td>Authors:</td><td>bradie, johanna; leung, brian</td></tr><tr><td>Title:</td><td>a quantitative synthesis of the importance of variables used in maxent species distribution models</td></tr><tr><td>Source:</td><td>journal of biogeography, 44(6), 1344-1361</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1111/jbi.12894	-0.6661	0.0085	1	343	2356	338	5.2256	2017	338	5.2256
86	benkendorf (2020)	"<table><tr><td>Authors:</td><td>benkendorf, donald j.; hawkins, charles p.</td></tr><tr><td>Title:</td><td>effects of sample size and network depth on a deep learning approach to species distribution modeling</td></tr><tr><td>Source:</td><td>ecological informatics, 60</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.ecoinf.2020.101137	-0.4174	0.8339	3	314	579	92	2.2827	2020	92	2.2827
87	ramirez-amezcua (2016)	"<table><tr><td>Authors:</td><td>ramirez-amezcua, yocupitzia; steinmann, victor w.; ruiz-sanchez, eduardo; rojas-soto, octavio r.</td></tr><tr><td>Title:</td><td>mexican alpine plants in the face of global warming: potential extinction within a specialized assemblage of narrow endemics</td></tr><tr><td>Source:</td><td>biodiversity and conservation, 25(5), 865-885</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1007/s10531-016-1094-x	-0.8848	-0.3926	1	336	2256	20	0.3439	2016	20	0.3439
88	marchioro (2016)	"<table><tr><td>Authors:</td><td>marchioro, cesar a.</td></tr><tr><td>Title:</td><td>global potential distribution of bactrocera carambolae and the risks for fruit production in brazil</td></tr><tr><td>Source:</td><td>plos one, 11(11)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1371/journal.pone.0166142	0.7544	-0.7029	2	334	2237	28	0.4814	2016	28	0.4814
89	cengic (2020)	"<table><tr><td>Authors:</td><td>cengic, mirza; rost, jasmijn; remenska, daniela; janse, jan h.; huijbregts, mark a. j.; schipper, aafke m.</td></tr><tr><td>Title:</td><td>on the importance of predictor choice, modelling technique, and number of pseudo-absences for bioclimatic envelope model performance</td></tr><tr><td>Source:</td><td>ecology and evolution, 10(21), 12307-12317</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1002/ece3.6859	-0.219	0.4754	3	345	2671	51	1.2654	2020	51	1.2654
90	taylor (2020)	"<table><tr><td>Authors:</td><td>taylor, andrew t.; hafen, thomas; holley, colt t.; gonzalez, alin; long, james m.</td></tr><tr><td>Title:</td><td>spatial sampling bias and model complexity in stream-based species distribution models: a case study of paddlefish (polyodon spathula) in the arkansas river basin, usa</td></tr><tr><td>Source:</td><td>ecology and evolution, 10(2), 705-717</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1002/ece3.5913	0.7982	-0.4842	2	341	2586	10	0.2481	2020	10	0.2481
91	burgos (2020)	"<table><tr><td>Authors:</td><td>burgos, julian m.; buhl-mortensen, lene; buhl-mortensen, pal; olafsdottir, steinunn h.; steingrund, petur; ragnarsson, stefan a.; skagseth, oystein</td></tr><tr><td>Title:</td><td>predicting the distribution of indicator taxa of vulnerable marine ecosystems in the arctic and sub-arctic waters of the nordic seas</td></tr><tr><td>Source:</td><td>frontiers in marine science, 7</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.3389/fmars.2020.00131	0.9154	0.0258	2	342	2202	58	1.4391	2020	58	1.4391
92	botella (2018)	"<table><tr><td>Authors:</td><td>botella, christophe; joly, alexis; bonnet, pierre; monestiez, pascal; munoz, francois</td></tr><tr><td>Title:</td><td>species distribution modeling based on the automated identification of citizen observations</td></tr><tr><td>Source:</td><td>applications in plant sciences, 6(2)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1002/aps3.1029	0.6279	0.6525	2	335	817	33	0.6023	2018	33	0.6023
93	low (2021)	"<table><tr><td>Authors:</td><td>low, bi wei; zeng, yiwen; tan, heok hui; yeo, darren c. j.</td></tr><tr><td>Title:</td><td>predictor complexity and feature selection affect maxent model transferability: evidence from global freshwater invasive species</td></tr><tr><td>Source:</td><td>diversity and distributions, 27(3), 497-511</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1111/ddi.13211	0.7966	-0.5304	2	343	3135	116	3.7982	2021	116	3.7982
94	raath (2018)	"<table><tr><td>Authors:</td><td>raath, morgan jade; le roux, peter christiaan; veldtman, ruan; greve, michelle</td></tr><tr><td>Title:</td><td>incorporating biotic interactions in the distribution models of african wild silk moths (⁢gonometa ⁢species, lasiocampidae) using different representations of modelled host tree distributions</td></tr><tr><td>Source:</td><td>austral ecology, 43(3), 316-327</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1111/aec.12569	-0.6174	-0.2141	1	341	2621	8	0.146	2018	8	0.146
95	wells (2018)	"<table><tr><td>Authors:</td><td>wells, carrie n.; tonkyn, david</td></tr><tr><td>Title:</td><td>changes in the geographic distribution of the diana fritillary (speyeria diana: nymphalidae) under forecasted predictions of climate change</td></tr><tr><td>Source:</td><td>insects, 9(3)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.3390/insects9030094	-0.5199	0.2277	1	342	2482	5	0.0913	2018	5	0.0913
96	boys (2021)	"<table><tr><td>Authors:</td><td>boys, wade a.; siepielski, adam m.; smith, brenda d.; patten, michael a.; bried, jason t.</td></tr><tr><td>Title:</td><td>predicting the distributions of regional endemic dragonflies using a combined model approach</td></tr><tr><td>Source:</td><td>insect conservation and diversity, 14(1), 52-66</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1111/icad.12444	-0.0004	0.3413	3	341	2559	25	0.8186	2021	25	0.8186
97	flores-tolentino (2019)	"<table><tr><td>Authors:</td><td>flores-tolentino, mayra; ortiz, enrique; luis villasenor, jose</td></tr><tr><td>Title:</td><td>ecological niche models as a tool for estimating the distribution of plant communities</td></tr><tr><td>Source:</td><td>revista mexicana de biodiversidad, 90</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/10.22201/ib.20078706e.2019.90.2829	-0.5552	-0.6495	1	339	2594	15	0.2796	2019	15	0.2796
98	fourcade (2018)	"<table><tr><td>Authors:</td><td>fourcade, yoan; besnard, aurelien g.; secondi, jean</td></tr><tr><td>Title:</td><td>paintings predict the distribution of species, or the challenge of selecting environmental predictors and evaluation statistics</td></tr><tr><td>Source:</td><td>global ecology and biogeography, 27(2), 245-256</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1111/geb.12684	0.6205	-0.0254	2	347	3407	413	7.5385	2018	413	7.5385
99	spiers (2018)	"<table><tr><td>Authors:</td><td>spiers, joshua a.; oatham, michael p.; rostant, luke v.; farrell, aidan d.</td></tr><tr><td>Title:</td><td>applying species distribution modelling to improving conservation based decisions: a gap analysis of trinidad and tobago's endemic vascular plants</td></tr><tr><td>Source:</td><td>biodiversity and conservation, 27(11), 2931-2949</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1007/s10531-018-1578-y	0.1578	0.1218	2	341	2133	51	0.9309	2018	51	0.9309
100	rhoden (2017)	"<table><tr><td>Authors:</td><td>rhoden, cody m.; peterman, william e.; taylor, christopher a.</td></tr><tr><td>Title:</td><td>maxent-directed field surveys identify new populations of narrowly endemic habitat specialists</td></tr><tr><td>Source:</td><td>peerj, 5</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.7717/peerj.3632	0.3552	-0.88	2	335	2434	109	1.6852	2017	109	1.6852
101	rus (2018)	"<table><tr><td>Authors:</td><td>rus, juan diego; ramirez-rodriguez, ruben; amich, francisco; melendo-luque, manuel</td></tr><tr><td>Title:</td><td>habitat distribution modelling, under the present climatic scenario, of the threatened endemic iberian delphinium fissum subsp sordidum (ranunculaceae) and implications for its conservation</td></tr><tr><td>Source:</td><td>plant biosystems, 152(5), 891-900</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1080/11263504.2017.1359214	-0.6053	-0.5935	1	339	2659	9	0.1643	2018	9	0.1643
102	swinnen (2017)	"<table><tr><td>Authors:</td><td>swinnen, kristijn r. r.; strubbe, diederik; matthysen, erik; leirs, herwig</td></tr><tr><td>Title:</td><td>reintroduced eurasian beavers (castor fiber): colonization and range expansion across human-dominated landscapes</td></tr><tr><td>Source:</td><td>biodiversity and conservation, 26(8), 1863-1876</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1007/s10531-017-1333-9	0.5746	-0.1653	2	340	2398	39	0.603	2017	39	0.603
103	williams (2017)	"<table><tr><td>Authors:</td><td>williams, heather m.; willemoes, mikkel; thorup, kasper</td></tr><tr><td>Title:</td><td>a temporally explicit species distribution model for a long distance avian migrant, the common cuckoo</td></tr><tr><td>Source:</td><td>journal of avian biology, 48(12), 1624-1636</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.1111/jav.01476	-0.0367	-0.4571	1	339	2163	35	0.5411	2017	35	0.5411
104	archis (2018)	"<table><tr><td>Authors:</td><td>archis, jennifer n.; akcali, christopher; stuart, bryan l.; kikuchi, david; chunco, amanda j.</td></tr><tr><td>Title:</td><td>is the future already here? the impact of climate change on the distribution of the eastern coral snake (micrurus fulvius)</td></tr><tr><td>Source:</td><td>peerj, 6</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.7717/peerj.4647	-0.1913	-0.1716	1	342	3117	28	0.5111	2018	28	0.5111
105	morey (2020)	"<table><tr><td>Authors:</td><td>morey, amy c.; venette, robert c.</td></tr><tr><td>Title:</td><td>minimizing risk and maximizing spatial transferability: challenges in constructing a useful model of potential suitability for an invasive insect</td></tr><tr><td>Source:</td><td>annals of the entomological society of america, 113(2), 100-113</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1093/aesa/saz049	0.7203	-0.5439	2	346	3342	12	0.2977	2020	12	0.2977
106	gullage (2017)	"<table><tr><td>Authors:</td><td>gullage, lauren; devillers, rodolphe; edinger, evan</td></tr><tr><td>Title:</td><td>predictive distribution modelling of cold-water corals in the newfoundland and labrador region</td></tr><tr><td>Source:</td><td>marine ecology progress series, 582, 57-77</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/10.3354/meps12307	0.5896	-0.2479	2	339	2294	13	0.201	2017	13	0.201
107	el-gabbas (2016)	"<table><tr><td>Authors:</td><td>el-gabbas, ahmed; el din, sherif baha; zalat, samy; gilbert, francis</td></tr><tr><td>Title:</td><td>conserving egypt's reptiles under climate change</td></tr><tr><td>Source:</td><td>journal of arid environments, 127, 211-221</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1016/j.jaridenv.2015.12.007	-0.1312	-0.7914	1	340	2360	19	0.3267	2016	19	0.3267
108	romero (2020)	"<table><tr><td>Authors:</td><td>romero, daniel; ornosa, concepcion; vargas, pablo</td></tr><tr><td>Title:</td><td>where and why? bees, snail shells and climate: distribution of rhodanthidium (hymenoptera: megachilidae) in the iberian peninsula</td></tr><tr><td>Source:</td><td>entomological science, 23(3), 256-270</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1111/ens.12420	-0.2705	0.1584	1	344	2365	2	0.0496	2020	2	0.0496
109	feldmeier (2018)	"<table><tr><td>Authors:</td><td>feldmeier, stephan; schefczyk, lukas; hochkirch, axel; loetters, stefan; pfeifer, manfred a.; heinemann, guenther; veith, michael</td></tr><tr><td>Title:</td><td>climate versus weather extremes: temporal predictor resolution matters for future rather than current regional species distribution models</td></tr><tr><td>Source:</td><td>diversity and distributions, 24(8), 1047-1060</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1111/ddi.12746	-0.053	0.2629	3	345	2941	18	0.3286	2018	18	0.3286
110	kuebler (2016)	"<table><tr><td>Authors:</td><td>kuebler, daniel; hildebrandt, patrick; guenter, sven; stimm, bernd; weber, michael; mosandl, reinhard; munoz, johana; cabrera, omar; aguirre, nikolay; zeilinger, joerg; silva, brenner</td></tr><tr><td>Title:</td><td>assessing the importance of topographic variables for the spatial distribution of tree species in a tropical mountain forest</td></tr><tr><td>Source:</td><td>erdkunde, 70(1), 19-47</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.3112/erdkunde.2016.01.03	-0.4984	-0.5253	1	342	2776	21	0.3611	2016	21	0.3611
111	allen (2016)	"<table><tr><td>Authors:</td><td>allen, jessica l.; lendemer, james c.</td></tr><tr><td>Title:</td><td>climate change impacts on endemic, high-elevation lichens in a biodiversity hotspot</td></tr><tr><td>Source:</td><td>biodiversity and conservation, 25(3), 555-568</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1007/s10531-016-1071-4	0.7024	-0.2683	2	340	2260	105	1.8054	2016	105	1.8054
112	pace (2018)	"<table><tr><td>Authors:</td><td>pace, daniela silvia; arcangeli, antonella; mussi, barbara; vivaldi, carlotta; ledon, cristina; lagorio, serena; giacomini, giancarlo; pavan, gianni; ardizzone, giandomenico</td></tr><tr><td>Title:</td><td>habitat suitability modeling in different sperm whale social groups</td></tr><tr><td>Source:</td><td>journal of wildlife management, 82(5), 1062-1073</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1002/jwmg.21453	-0.0378	-0.8984	1	338	2674	29	0.5293	2018	29	0.5293
