,Switzerland,United States,Australia,Denmark,Philippines,France,Italy,United Kingdom,Egypt,Greece,Mexico,Spain,Germany,Colombia,Belgium,Benin,Japan,Kenya,South Africa,"Tanzania, United Republic of",Argentina,Brazil,"Korea, Republic of",Finland,"Bolivia, Plurinational State of",Chile,Algeria,Portugal,Norway,New Zealand,Canada,Czechia,Madagascar,Poland,Netherlands,Austria,Peru,Slovakia,Ukraine,Indonesia,Malaysia,Saudi Arabia,India,Nepal,Sri Lanka,Singapore,China,Bangladesh,Libya,Morocco,Tunisia,Romania,Bermuda,Lithuania,Sweden,Cuba,Bulgaria,Iceland,Ecuador,Viet Nam,"Taiwan, Province of China",Croatia,Serbia,Slovenia,New Caledonia,Burkina Faso,Panama,Zimbabwe,Costa Rica,Uganda,French Guiana,Uruguay,Ethiopia,"Iran, Islamic Republic of",Senegal,Thailand,Cameroon,Pakistan,Ireland,Hungary,Belarus,Namibia,"Venezuela, Bolivarian Republic of",Jamaica,Lao People's Democratic Republic,Israel,Luxembourg,Yemen,Lebanon,Iraq,Bhutan,Bahrain,Mongolia,Nigeria,Guatemala,Ghana,Sierra Leone,Guyana,Sudan,Estonia,Eswatini,Zambia,Kuwait,Somalia,Malta,Montenegro,Paraguay,Malawi,Latvia,Niger,Togo,Mozambique,Honduras,Qatar,Uzbekistan,El Salvador,Kazakhstan,Cambodia,Myanmar,Rwanda,Botswana,"Moldova, Republic of",Georgia,Kyrgyzstan,Azerbaijan,Cyprus,Mali,Mauritius,Greenland,Chad,Oman,Haiti,Armenia,Gibraltar,Jordan,Gambia,Gabon,Maldives
New Zealand,1.0,23.0,15.0,4.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,5.0,10.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,3.0,11.0,8.0,2.0,2.0,2.0,2.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,5.0,9.0,7.0,3.0,1.0,2.0,3.0,11.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,11.0,36.0,12.0,8.0,0.0,24.0,22.0,34.0,0.0,4.0,7.0,0.0,29.0,2.0,11.0,2.0,7.0,1.0,4.0,1.0,7.0,10.0,1.0,5.0,1.0,9.0,2.0,44.0,4.0,5.0,9.0,6.0,0.0,4.0,19.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,8.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,3.0,20.0,6.0,1.0,2.0,2.0,2.0,6.0,0.0,1.0,2.0,7.0,7.0,1.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0,0.0,4.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,3.0,20.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,7.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,2.0,14.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,1.0,5.0,8.0,4.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,3.0,12.0,1.0,2.0,3.0,16.0,14.0,25.0,0.0,1.0,0.0,44.0,15.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2.0,62.0,10.0,2.0,0.0,6.0,0.0,22.0,0.0,1.0,8.0,10.0,27.0,9.0,3.0,0.0,2.0,2.0,2.0,0.0,18.0,0.0,0.0,3.0,3.0,2.0,0.0,12.0,2.0,1.0,9.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Canada,5.0,62.0,11.0,2.0,0.0,15.0,11.0,19.0,2.0,0.0,4.0,9.0,13.0,6.0,5.0,2.0,2.0,0.0,3.0,1.0,3.0,9.0,1.0,4.0,1.0,6.0,0.0,1.0,3.0,2.0,0.0,4.0,4.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
India,3.0,22.0,7.0,3.0,1.0,8.0,4.0,10.0,3.0,0.0,1.0,3.0,7.0,0.0,2.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,5.0,0.0,10.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,2.0,16.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
